total_whistles_duration,acoustic,fishing_net,behavior,beacon,date,number,net,audio_names
803,T,F,DEPL,DOL3,12/07/2020,5,chalut_blanc,SCW1807_20200712_101000
1870,T,F,DEPL,DOL3,12/07/2020,5,chalut_blanc,SCW1807_20200712_101100
976,T,F,DEPL,DOL3,12/07/2020,5,chalut_blanc,SCW1807_20200712_101200
55,AV+D,SSF,SOCI,DOL1,12/07/2020,6,SSF,SCW1807_20200712_114800
10,D,SSF,DEPL,DOL1,12/07/2020,3,SSF,SCW1807_20200712_114900
24,D,SSF,DEPL,DOL1,12/07/2020,3,SSF,SCW1807_20200712_115000
286,D,F,DEPL,DOL1,12/07/2020,3,tremail,SCW1807_20200712_115100
793,D,F,DEPL,DOL1,12/07/2020,3,tremail,SCW1807_20200712_115200
450,D+AP,F,DEPL,DOL1,12/07/2020,3,tremail,SCW1807_20200712_115300
32,T,F,DEPL,DOL1,12/07/2020,6,tremail,SCW1807_20200712_130900
0,T,F,DEPL,DOL1,12/07/2020,6,tremail,SCW1807_20200712_131100
30,AV,F,DEPL,NC,12/07/2020,6,tremail,SCW1807_20200712_132000
248,D,F,DEPL,DOL1,12/07/2020,6,tremail,SCW1807_20200712_132100
27,AP,F,DEPL,DOL1,12/07/2020,6,tremail,SCW1807_20200712_132200
43,AV,F,DEPL,NC,12/07/2020,4,tremail,SCW1807_20200712_132600
142,AV+D,F,DEPL,DOL1,12/07/2020,3,tremail,SCW1807_20200712_132700
0,D,F,DEPL,DOL1,12/07/2020,3,tremail,SCW1807_20200712_132800
17,D,F,DEPL,DOL1,12/07/2020,4,tremail,SCW1807_20200712_132900
0,D,F,DEPL,DOL1,12/07/2020,4,tremail,SCW1807_20200712_133000
0,D,F,DEPL,DOL1,12/07/2020,4,tremail,SCW1807_20200712_133100
765,AV+D,F,DEPL,DOL5,12/07/2020,5,chalut_vert,SCW1807_20200712_134200
1990,D,F,DEPL,DOL5,12/07/2020,8,chalut_vert,SCW1807_20200712_134300
6982,D,F,DEPL,DOL5,12/07/2020,8,chalut_vert,SCW1807_20200712_134400
6655,D,F,DEPL,DOL5,12/07/2020,8,chalut_vert,SCW1807_20200712_134500
4490,D,F,DEPL,DOL5,12/07/2020,8,chalut_vert,SCW1807_20200712_134600
1320,AP,F,DEPL,DOL5,12/07/2020,3,chalut_vert,SCW1807_20200712_134900
2377,T,F,DEPL,DOL5,12/07/2020,3,chalut_vert,SCW1807_20200712_135500
2138,T,F,DEPL,DOL5,12/07/2020,3,chalut_vert,SCW1807_20200712_135600
4146,T,F,DEPL,DOL5,12/07/2020,3,chalut_vert,SCW1807_20200712_135700
3754,T,F,DEPL,DOL5,12/07/2020,2,chalut_vert,SCW1807_20200712_135800
634,T,F,DEPL,DOL5,12/07/2020,2,chalut_vert,SCW1807_20200712_135900
891,T,F,DEPL,DOL5,12/07/2020,2,chalut_vert,SCW1807_20200712_140000
2408,T,F,DEPL,DOL5,12/07/2020,2,chalut_vert,SCW1807_20200712_140100
2546,T,F,DEPL,DOL5,12/07/2020,2,chalut_vert,SCW1807_20200712_140200
2357,T,F,DEPL,DOL5,12/07/2020,2,chalut_vert,SCW1807_20200712_140300
2263,T,F,DEPL,DOL5,12/07/2020,2,chalut_vert,SCW1807_20200712_140400
6749,T,F,DEPL,DOL5,12/07/2020,6,chalut_vert,SCW1807_20200712_140500
6858,T,F,DEPL,DOL5,12/07/2020,6,chalut_vert,SCW1807_20200712_140600
678,T,F,DEPL,DOL5,12/07/2020,6,chalut_vert,SCW1807_20200712_140700
1300,T,F,DEPL,DOL5,12/07/2020,6,chalut_vert,SCW1807_20200712_140800
620,T,F,DEPL,DOL5,12/07/2020,5,chalut_vert,SCW1807_20200712_142600
1418,T,F,DEPL,DOL5,12/07/2020,5,chalut_vert,SCW1807_20200712_142700
514,AV,SSF,DEPL,NC,13/07/2020,30,SSF,SCW1807_20200713_063700
1208,AV+D,SSF,DEPL,DOL5,13/07/2020,10,SSF,SCW1807_20200713_063800
2010,D,SSF,DEPL,DOL5,13/07/2020,10,SSF,SCW1807_20200713_063900
2988,D+AP,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_064000
1458,AV,F,DEPL,NC,13/07/2020,10,chalut_vert,SCW1807_20200713_064100
818,AV+D,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_064200
4877,D+AP,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_064300
4514,T,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_064400
2719,T,F,DEPL,DOL5,13/07/2020,12,chalut_vert,SCW1807_20200713_064500
2625,T,F,DEPL,DOL5,13/07/2020,12,chalut_vert,SCW1807_20200713_064600
1373,T,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_064800
1049,T,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_064900
444,T,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_065000
5837,T,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_071900
3700,T,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_072000
0,T,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_072100
463,T,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_072200
1085,T,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_072300
453,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_073200
1909,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_073300
532,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_073400
223,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_073500
342,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_073600
204,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_073700
1973,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_073800
2318,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_073900
155,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_074000
17,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_074100
1095,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_074200
148,AV,SSF,SOCI,NC,13/07/2020,6,SSF,SCW1807_20200713_075400
651,AV+D,SSF,DEPL,DOL6,13/07/2020,6,SSF,SCW1807_20200713_075500
944,D,SSF,DEPL,DOL6,13/07/2020,6,SSF,SCW1807_20200713_075600
0,D,SSF,DEPL,DOL6,13/07/2020,6,SSF,SCW1807_20200713_075700
11,D,SSF,SOCI,DOL6,13/07/2020,6,SSF,SCW1807_20200713_075800
92,D,SSF,SOCI,DOL6,13/07/2020,6,SSF,SCW1807_20200713_075900
253,T,SSF,DEPL,DOL5,13/07/2020,6,SSF,SCW1807_20200713_081700
1193,T,SSF,SOCI,DOL5,13/07/2020,6,SSF,SCW1807_20200713_081800
112,T,SSF,SOCI,DOL5,13/07/2020,6,SSF,SCW1807_20200713_081900
133,T,SSF,SOCI,DOL5,13/07/2020,6,SSF,SCW1807_20200713_082000
401,T,SSF,SOCI,DOL5,13/07/2020,6,SSF,SCW1807_20200713_082100
247,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_085200
0,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_085300
0,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_085400
142,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_085500
439,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_085600
0,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_085700
398,T,SSF,SOCI,DOL5,13/07/2020,5,SSF,SCW1807_20200713_091400
283,T,SSF,SOCI,DOL5,13/07/2020,5,SSF,SCW1807_20200713_091500
0,T,SSF,SOCI,DOL5,13/07/2020,5,SSF,SCW1807_20200713_091600
0,T,SSF,SOCI,DOL5,13/07/2020,5,SSF,SCW1807_20200713_091700
0,T,SSF,SOCI,DOL5,13/07/2020,5,SSF,SCW1807_20200713_091800
28,T,SSF,SOCI,DOL5,13/07/2020,5,SSF,SCW1807_20200713_091900
229,T,SSF,SOCI,DOL5,13/07/2020,6,SSF,SCW1807_20200713_092200
0,T,SSF,SOCI,DOL5,13/07/2020,6,SSF,SCW1807_20200713_092300
23,T,SSF,SOCI,DOL5,13/07/2020,5,SSF,SCW1807_20200713_092400
25,T,SSF,SOCI,DOL5,13/07/2020,5,SSF,SCW1807_20200713_092500
0,T,SSF,SOCI,DOL5,13/07/2020,5,SSF,SCW1807_20200713_092600
13,T,SSF,SOCI,DOL5,13/07/2020,5,SSF,SCW1807_20200713_092700
377,T,SSF,SOCI,DOL5,13/07/2020,4,SSF,SCW1807_20200713_094500
1018,T,SSF,SOCI,DOL5,13/07/2020,4,SSF,SCW1807_20200713_094600
117,T,SSF,SOCI,DOL5,13/07/2020,4,SSF,SCW1807_20200713_094700
594,T,SSF,SOCI,DOL5,13/07/2020,4,SSF,SCW1807_20200713_094800
152,AV,SSF,DEPL,NC,13/07/2020,15,SSF,SCW1807_20200713_114200
20,D,SSF,DEPL,DOL7,13/07/2020,15,SSF,SCW1807_20200713_114300
61,D+AP,SSF,DEPL,DOL7,13/07/2020,15,SSF,SCW1807_20200713_114400
513,AV+D,SSF,DEPL,DOL7,13/07/2020,12,SSF,SCW1807_20200713_114900
239,D,SSF,DEPL,DOL7,13/07/2020,12,SSF,SCW1807_20200713_115000
174,D,SSF,DEPL,DOL7,13/07/2020,12,SSF,SCW1807_20200713_115100
112,D,SSF,DEPL,DOL7,13/07/2020,12,SSF,SCW1807_20200713_115200
1130,T,SSF,DEPL,DOL3,14/07/2020,5,SSF,SCW1807_20200714_064200
661,T,SSF,DEPL,DOL3,14/07/2020,5,SSF,SCW1807_20200714_064300
660,T,SSF,DEPL,DOL3,14/07/2020,5,SSF,SCW1807_20200714_064400
0,T,SSF,DEPL,DOL3,14/07/2020,6,SSF,SCW1807_20200714_085600
314,T,SSF,DEPL,DOL3,14/07/2020,6,SSF,SCW1807_20200714_085700
65,T,SSF,DEPL,DOL3,14/07/2020,6,SSF,SCW1807_20200714_085800
10,T,SSF,DEPL,DOL3,14/07/2020,6,SSF,SCW1807_20200714_090200
506,T,SSF,DEPL,DOL3,14/07/2020,6,SSF,SCW1807_20200714_090300
41,T,F,DEPL,DOL3,14/07/2020,2,chalut_blanc,SCW1807_20200714_091000
20,T,F,DEPL,DOL3,14/07/2020,3,chalut_blanc,SCW1807_20200714_091100
0,T,F,DEPL,DOL3,14/07/2020,3,chalut_blanc,SCW1807_20200714_091200
3804,T,SSF,DEPL,DOL1,16/07/2020,6,SSF,SCW1807_20200716_063500
1399,AV,SSF,DEPL,NC,16/07/2020,6,SSF,SCW1807_20200716_065500
3159,AV+D,SSF,DEPL,DOL1,16/07/2020,6,SSF,SCW1807_20200716_065600
432,D,SSF,DEPL,DOL1,16/07/2020,6,SSF,SCW1807_20200716_065700
0,AV,SSF,DEPL,NC,16/07/2020,6,SSF,SCW1807_20200716_071100
0,D,SSF,DEPL,DOL1,16/07/2020,6,SSF,SCW1807_20200716_071200
904,D,SSF,DEPL,DOL1,16/07/2020,6,SSF,SCW1807_20200716_071300
0,D,SSF,DEPL,DOL1,16/07/2020,6,SSF,SCW1807_20200716_071400
0,D,SSF,DEPL,DOL1,16/07/2020,6,SSF,SCW1807_20200716_071500
0,D,F,SOCI,DOL1,16/07/2020,6,tremail,SCW1807_20200716_073000
