number_of_BBP,acoustic,fishing_net,behavior,beacon,date,number,net,audio_names,Buzz,Burst-pulse
0,AV,F,DEPL,NC,11/07/2020,3,chalut_blanc,SCW1807_20200711_131500,0,0
0,AV+D,F,DEPL,DOL3,11/07/2020,3,chalut_blanc,SCW1807_20200711_131600,0,0
1,D,F,DEPL,DOL3,11/07/2020,3,chalut_blanc,SCW1807_20200711_131700,0,1
0,D,F,DEPL,DOL3,11/07/2020,3,chalut_blanc,SCW1807_20200711_131800,0,0
0,D+AP,F,DEPL,DOL3,11/07/2020,4,chalut_blanc,SCW1807_20200711_131900,0,0
0,AV+D,F,DEPL,DOL3,11/07/2020,4,chalut_blanc,SCW1807_20200711_132000,0,0
0,D+AP,F,DEPL,DOL3,11/07/2020,11,chalut_blanc,SCW1807_20200711_132100,0,0
0,AP,F,DEPL,DOL3,11/07/2020,11,chalut_blanc,SCW1807_20200711_132200,0,0
0,AP,F,DEPL,DOL3,11/07/2020,11,chalut_blanc,SCW1807_20200711_132300,0,0
2,AV,SSF,DEPL,NC,12/07/2020,12,SSF,SCW1807_20200712_090300,0,2
2,AV,SSF,DEPL,NC,12/07/2020,12,SSF,SCW1807_20200712_090400,2,0
3,AV+D,F,DEPL,DOL4,12/07/2020,12,chalut_blanc,SCW1807_20200712_090500,3,0
0,D,F,DEPL,DOL4,12/07/2020,12,chalut_blanc,SCW1807_20200712_090600,0,0
1,D,F,DEPL,DOL4,12/07/2020,12,chalut_blanc,SCW1807_20200712_090700,1,0
0,D,F,DEPL,DOL4,12/07/2020,12,chalut_blanc,SCW1807_20200712_090800,0,0
0,D,F,DEPL,DOL4,12/07/2020,12,chalut_blanc,SCW1807_20200712_090900,0,0
0,D+AP,F,DEPL,DOL4,12/07/2020,12,chalut_blanc,SCW1807_20200712_091000,0,0
1,T,F,DEPL,DOL3,12/07/2020,15,chalut_blanc,SCW1807_20200712_093900,0,1
2,T,F,DEPL,DOL3,12/07/2020,15,chalut_blanc,SCW1807_20200712_094000,0,2
2,T,F,DEPL,DOL3,12/07/2020,15,chalut_blanc,SCW1807_20200712_094100,2,0
1,T,F,DEPL,DOL3,12/07/2020,15,chalut_blanc,SCW1807_20200712_094200,1,0
3,T,F,DEPL,DOL3,12/07/2020,15,chalut_blanc,SCW1807_20200712_094300,3,0
0,T,F,DEPL,DOL3,12/07/2020,15,chalut_blanc,SCW1807_20200712_094400,0,0
