Fichier Audio,Date,Heure (UTC),T,AV,AV+D,D,D+AP,AP,AP+AV,F,SSF,NSP,CHAS,SOCI,DEPL,SONAR,SIGNAL
12072020/SCW1807_20200712_140500.wav,12/07/2020,14:5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL5
12072020/SCW1807_20200712_140600.wav,12/07/2020,14:6,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL5
12072020/SCW1807_20200712_140700.wav,12/07/2020,14:7,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL5
12072020/SCW1807_20200712_140800.wav,12/07/2020,14:8,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL5
12072020/SCW1807_20200712_142600.wav,12/07/2020,14:26,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL5
12072020/SCW1807_20200712_142700.wav,12/07/2020,14:27,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL5
13072020/SCW1807_20200713_063700.wav,13/07/2020,6:37,0,1,0,0,0,0,0,1,0,0,0,0,1,0,DOL5
13072020/SCW1807_20200713_063800.wav,13/07/2020,6:38,0,0,1,0,0,0,0,1,0,0,0,0,1,0,DOL5
13072020/SCW1807_20200713_063900.wav,13/07/2020,6:39,0,0,0,1,0,0,0,1,0,0,0,0,1,0,DOL5
13072020/SCW1807_20200713_064000.wav,13/07/2020,6:40,0,0,0,0,1,0,0,1,0,0,0,0,1,0,DOL5
13072020/SCW1807_20200713_064100.wav,13/07/2020,6:41,0,1,0,0,0,0,0,1,0,0,0,0,1,0,DOL5
13072020/SCW1807_20200713_064200.wav,13/07/2020,6:42,0,0,1,0,0,0,0,1,0,0,0,0,1,0,DOL5
13072020/SCW1807_20200713_064300.wav,13/07/2020,6:43,0,0,0,0,1,0,0,1,0,0,0,0,1,0,DOL5
13072020/SCW1807_20200713_064400.wav,13/07/2020,6:44,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL5
13072020/SCW1807_20200713_064500.wav,13/07/2020,6:45,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL5
13072020/SCW1807_20200713_064600.wav,13/07/2020,6:46,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL5
13072020/SCW1807_20200713_064800.wav,13/07/2020,6:48,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL5
13072020/SCW1807_20200713_064900.wav,13/07/2020,6:49,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL5
13072020/SCW1807_20200713_065000.wav,13/07/2020,6:50,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL5
13072020/SCW1807_20200713_071900.wav,13/07/2020,7:19,1,0,0,0,0,0,0,1,0,0,0,0,1,0,DOL5
13072020/SCW1807_20200713_072000.wav,13/07/2020,7:20,1,0,0,0,0,0,0,1,0,0,0,0,1,0,DOL5
13072020/SCW1807_20200713_072100.wav,13/07/2020,7:21,1,0,0,0,0,0,0,1,0,0,0,0,1,0,DOL5
13072020/SCW1807_20200713_072200.wav,13/07/2020,7:22,1,0,0,0,0,0,0,1,0,0,0,0,1,0,DOL5
13072020/SCW1807_20200713_072300.wav,13/07/2020,7:23,1,0,0,0,0,0,0,1,0,0,0,0,1,0,DOL5
13072020/SCW1807_20200713_073200.wav,13/07/2020,7:32,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL5
13072020/SCW1807_20200713_073300.wav,13/07/2020,7:33,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL5
13072020/SCW1807_20200713_073400.wav,13/07/2020,7:34,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL5
13072020/SCW1807_20200713_073500.wav,13/07/2020,7:35,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL5
13072020/SCW1807_20200713_073600.wav,13/07/2020,7:36,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL5
13072020/SCW1807_20200713_073700.wav,13/07/2020,7:37,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL5
13072020/SCW1807_20200713_073800.wav,13/07/2020,7:38,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL5
